itemID|demandPrediction|simulationPrice
1|3|3.43
2|0|9.15
3|140|14.04
4|145|14.1
5|1|7.48
6|0|17.25
7|1|34.39
8|1|4.98
9|2|199.84
10|2|24.17
11|7|2.13
12|0|2.11
13|69|10.83
14|3|29.67
15|4|720.5
16|0|159.61
17|1|26.38
18|6|7.21
19|1|79.68
20|0|605.04
21|78|5.44
22|0|37.38
23|0|31.58
24|0|1.81
25|0|10.5
26|120|14.27
27|0|1.64
28|0|67.75
29|4|56.13
30|0|82.67
31|1|14.12
32|1|32.09
33|0|44.12
34|0|80.28
35|1|337.84
36|0|1490.64
37|0|24.01
38|2|23.17
39|1|56.06
40|3|804.57
41|1|133.27
42|0|17.72
43|0|98.2
44|0|16.33
45|0|6.98
46|0|7.2
47|0|262.92
48|0|56.31
49|0|84.6
50|0|123.15
51|0|37.53
52|2|10.51
53|0|53.79
54|0|4.57
55|0|2.57
56|0|9.99
57|0|301.25
58|0|277.72
59|0|2331.94
60|1|99.45
61|1|2.38
62|2|9.72
63|1|63.0
64|1|17.02
65|2|4.69
66|0|100.35
67|0|42.34
68|1|24.24
69|2|33.5
70|0|2584.94
71|0|420.37
72|1|14.45
73|0|17.9
74|4|27.15
75|1|31.34
76|0|844.19
77|0|233.14
78|0|41.59
79|29|31.92
80|0|9.06
81|156|102.21
82|0|19.35
83|2|5.19
84|0|31.45
85|0|5.02
86|20|25.53
87|2|73.53
88|4|1620.82
89|0|698.36
90|0|110.94
91|2|60.03
92|1|5.41
93|0|43.68
94|0|195.1
95|1|29.1
96|0|19.47
97|1|51.53
98|0|30.97
99|0|610.36
100|0|28.71
101|160|12.51
102|150|37.86
103|120|30.95
104|0|26.56
105|2|85.46
106|2|12.74
107|0|19.56
108|0|5.87
109|3|5.8
110|0|61.07
111|0|4.51
112|52|12.22
113|1|3.71
114|4|46.9
115|3|78.46
116|1|451.06
117|1|10.19
118|0|12.22
119|0|1012.22
120|1|19.12
121|1|51.48
122|0|6.48
123|0|36.63
124|0|63.21
125|0|5.07
126|0|13.63
127|0|628.72
128|4|42.38
129|1|23.8
130|0|14.73
131|2|243.74
132|0|375.72
133|0|25.62
134|1|208.24
135|0|33.9
136|3|6.68
137|1|42.26
138|0|11.85
139|0|218.86
140|0|6940.08
141|0|635.39
142|0|1241.94
143|5|28.99
144|0|121.07
145|0|204.47
146|16|14.12
147|0|763.52
148|3|17.75
149|0|48.45
150|0|430.62
151|0|3.5
152|0|10.71
153|1|122.85
154|0|21.04
155|0|1414.26
156|0|47.82
157|0|147.38
158|1|152.7
159|0|35.14
160|110|4.09
161|0|15.21
162|1|58.2
163|1|15.9
164|0|28.99
165|0|112.92
166|0|261.99
167|0|85.34
168|3|42.81
169|28|6.35
170|1|20.2
171|0|79.59
172|1|36.63
173|2|15.36
174|1|10.58
175|0|7.07
176|0|10.47
177|0|38.97
178|0|145.53
179|0|194.39
180|21|12.62
181|0|8.29
182|1|9.48
183|1|17.74
184|0|28.9
185|0|46.9
186|1|12.95
187|2|8.29
188|2|69.16
189|3|15.42
190|55|6.89
191|2|14.87
192|1|44.41
193|44|2.97
194|1|11.4
195|0|14.95
196|2|68.77
197|0|179.95
198|0|222.33
199|26|37.3
200|0|16.01
201|2|19.56
202|0|36.63
203|134|6.47
204|0|150.4
205|0|31.24
206|3|7.06
207|0|31.44
208|0|13.35
209|3|5.11
210|0|32.5
211|0|1395.3
212|2|30.27
213|0|20.12
214|0|3.39
215|0|31.77
216|32|41.97
217|0|6.89
218|3|15.45
219|0|29.95
220|1|9.3
221|2|45.05
222|10|6.12
223|1|47.65
224|0|57.5
225|11|31.35
226|0|27.54
227|0|12.4
228|0|66.97
229|0|1549.9
230|0|17.38
231|6|216.05
232|0|38.88
233|1|32.23
234|5|10.76
235|1|27.77
236|1|22.85
237|0|5.72
238|1|47.03
239|0|23.29
240|165|40.14
241|0|69.56
242|0|5.22
243|5|861.34
244|1|118.38
245|0|2310.85
246|0|675.32
247|1|64.81
248|0|70.95
249|0|11.47
250|0|224.59
251|27|154.41
252|89|14.45
253|0|23.87
254|0|70.76
255|0|304.88
256|0|678.65
257|5|6.79
258|7|79.68
259|0|24.68
260|47|25.31
261|0|39.44
262|0|17.25
263|0|21.47
264|1|37.15
265|0|259.12
266|0|931.44
267|0|2035.18
268|0|460.26
269|1|21.55
270|0|30.42
271|0|20.89
272|0|26.5
273|29|15.89
274|72|53.08
275|41|14.3
276|0|8813.07
277|3|178.01
278|0|18.19
279|1|17.41
280|1|10.58
281|0|5.23
282|0|5.22
283|2|42.67
284|41|34.32
285|31|34.49
286|0|4.9
287|0|11.34
288|0|6.85
289|1|41.52
290|1|53.88
291|27|6.28
292|0|39.86
293|36|62.03
294|1|15.91
295|3|37.79
296|0|41.79
297|0|43.53
298|1|66.28
299|0|56.49
300|0|39.33
301|0|66.48
302|0|24.37
303|101|49.12
304|0|14.0
305|0|70.0
306|0|177.77
307|0|5.38
308|3|12.65
309|1|80.42
310|0|135.98
311|5|162.57
312|5|142.92
313|0|100.7
314|0|681.4
315|0|4.66
316|1|23.98
317|0|333.37
318|0|58.7
319|0|73.25
320|1|694.8
321|0|201.32
322|0|553.14
323|0|12.67
324|1|20.66
325|0|20.17
326|0|55.21
327|1|36.66
328|0|21.74
329|1|73.03
330|76|86.22
331|2|43.98
332|125|23.9
333|6|50.82
334|1|44.74
335|151|2.07
336|1|9.29
337|0|47.48
338|0|114.42
339|0|29.5
340|35|12.93
341|1|54.3
342|1|9.61
343|0|53.45
344|0|75.41
345|76|37.31
346|0|7.63
347|0|27.58
348|0|23.98
349|41|14.39
350|5|3.65
351|64|61.39
352|0|299.55
353|0|742.25
354|0|103.54
355|1|7.38
356|21|15.35
357|0|63.18
358|0|54.7
359|1|33.53
360|0|66.87
361|0|10.05
362|0|45.53
363|2|61.49
364|0|13.76
365|0|690.17
366|0|92.29
367|0|5.46
368|4|12.43
369|61|53.88
370|0|36.41
371|1|38.97
372|1|11.91
373|0|16.41
374|0|33.79
375|0|45.41
376|0|34.14
377|140|21.87
378|0|7.12
379|1|3.39
380|2|1.96
381|70|23.65
382|1|11.21
383|79|11.33
384|64|21.36
385|0|81.53
386|1|45.53
387|1|25.11
388|3|4.98
389|33|37.85
390|0|43.72
391|31|76.57
392|20|24.97
393|648|54.45
394|0|205.47
395|0|2318.21
396|2|185.94
397|0|243.06
398|1|39.77
399|0|4.64
400|0|45.38
401|1|40.14
402|0|196.4
403|0|296.37
404|0|220.12
405|0|43.19
406|0|9.66
407|0|251.81
408|0|32.7
409|0|15.23
410|0|70.08
411|0|204.62
412|0|3180.29
413|0|515.27
414|0|182.33
415|0|471.36
416|0|269.31
417|0|147.89
418|0|47.99
419|0|13.15
420|3|5.33
421|0|2.93
422|1|30.26
423|1|2.81
424|0|14.29
425|0|13.6
426|43|8.62
427|3|40.81
428|0|53.45
429|5|1.82
430|18|36.02
431|7|374.67
432|0|4.24
433|1|56.45
434|243|15.75
435|0|4.42
436|0|18.14
437|0|22.5
438|0|4.42
439|2|21.86
440|1|12.78
441|2|6.01
442|0|54.89
443|228|24.95
444|282|25.64
445|231|50.49
446|223|5.46
447|99|26.82
448|3|21.5
449|0|31.77
450|0|17.42
451|1|8.48
452|0|43.62
453|0|29.49
454|2|5.55
455|0|291.73
456|3|76.88
457|28|19.86
458|36|143.08
459|16|136.92
460|16|15.07
461|17|136.87
462|34|128.1
463|22|16.46
464|1|38.3
465|0|179.87
466|26|6.62
467|0|163.07
468|25|123.25
469|5|64.19
470|5|3.47
471|0|20.33
472|0|67.2
473|2|32.16
474|0|272.15
475|1|15.08
476|0|100.17
477|1|11.29
478|3|7.07
479|48|66.87
480|0|155.13
481|4|51.86
482|0|102.54
483|0|1171.76
484|0|22.8
485|55|21.74
486|1|21.32
487|0|2.52
488|1|16.9
489|0|58.29
490|1|4.01
491|0|15.44
492|0|37.81
493|53|25.07
494|1|16.39
495|0|4.28
496|0|18.47
497|0|67.82
498|0|222.07
499|0|267.97
500|0|115.45
501|1|11.01
502|2|199.69
503|1|24.88
504|0|28.62
505|0|39.15
506|0|312.38
507|0|44.14
508|0|20.2
509|0|28.12
510|0|8.58
511|82|169.81
512|56|96.97
513|2|29.11
514|1|4.98
515|2|21.87
516|2|9.66
517|3|2.35
518|1|33.53
519|52|72.6
520|4|9.32
521|2|49.29
522|2|4.08
523|5|13.08
524|48|25.16
525|1|2.94
526|2|40.97
527|10|98.29
528|0|27.07
529|1|58.81
530|0|44.87
531|1|23.55
532|1|266.28
533|0|286.82
534|0|12.98
535|2|51.67
536|0|44.5
537|0|637.56
538|2|1331.69
539|0|47.03
540|0|6.19
541|74|47.66
542|1|15.32
543|66|11.06
544|0|23.18
545|1|51.3
546|1|23.96
547|0|633.86
548|0|1784.12
549|0|1136.28
550|0|1566.0
551|0|3158.76
552|0|317.3
553|0|347.54
554|54|14.19
555|1|29.57
556|5|2.67
557|0|539.22
558|0|1425.87
559|103|24.37
560|161|79.45
561|0|116.16
562|0|56.44
563|0|15.31
564|0|5.35
565|12|1.56
566|0|2175.55
567|117|3.39
568|70|51.35
569|3|85.61
570|0|7.39
571|61|4.24
572|35|15.02
573|1|5.05
574|0|37.9
575|49|80.59
576|0|101.23
577|5|37.43
578|82|86.3
579|3|3.92
580|0|66.42
581|1|25.59
582|1|237.83
583|13|15.08
584|0|145.38
585|0|36.61
586|2|46.01
587|0|495.21
588|1|25.56
589|1|113.1
590|50|2.81
591|52|30.97
592|3|21.27
593|0|57.63
594|84|52.29
595|0|27.96
596|0|44.48
597|0|23.64
598|0|75.9
599|19|79.89
600|2|19.11
601|0|2.77
602|3|4.83
603|0|20.82
604|0|298.84
605|0|39.67
606|1|23.23
607|0|62.86
608|0|155.93
609|0|13.08
610|1|11.37
611|0|11.59
612|1|2.57
613|8|36.06
614|1|98.25
615|3|4.03
616|1|31.75
617|1|12.37
618|0|21.52
619|2|25.61
620|3|21.28
621|26|29.23
622|0|158.56
623|79|25.97
624|131|38.71
625|0|6.28
626|0|242.27
627|101|137.66
628|0|107.67
629|28|83.63
630|14|115.7
631|1|119.49
632|1|13.13
633|3|97.59
634|3|67.67
635|0|25.38
636|0|5.43
637|2|23.48
638|0|92.05
639|0|13.17
640|0|3.14
641|65|14.56
642|1|8.77
643|0|8.96
644|0|12.8
645|0|31.19
646|0|92.77
647|0|11.79
648|0|220.12
649|3|20.28
650|0|6.58
651|2|26.24
652|2|134.56
653|0|131.97
654|9|77.54
655|2|85.11
656|0|89.47
657|0|237.83
658|0|13.25
659|0|38.95
660|2|90.8
661|0|56.18
662|0|102.56
663|0|489.12
664|0|853.43
665|0|176.9
666|0|16.21
667|1|16.14
668|0|3491.0
669|0|55.48
670|0|25.45
671|8|7.36
672|34|1416.6
673|3|24.68
674|1|8.1
675|0|8.38
676|6|14.62
677|0|32.67
678|1|41.06
679|0|7.72
680|0|28.9
681|42|203.72
682|81|70.64
683|2|4.7
684|0|4.05
685|0|24.64
686|0|3.67
687|1|4.08
688|3|163.43
689|145|24.84
690|74|124.16
691|43|89.94
692|85|30.08
693|158|20.0
694|1|11.71
695|0|160.97
696|2|8.08
697|0|13.57
698|0|58.51
699|0|207.14
700|1|9.98
701|0|282.88
702|0|83.98
703|0|26.45
704|0|25.62
705|0|31.48
706|2|7.51
707|3|15.43
708|3|8.24
709|0|1.71
710|4|45.53
711|0|555.06
712|0|888.67
713|1|113.33
714|0|15.83
715|35|6.11
716|0|11.77
717|8|38.6
718|0|29.58
719|2|56.45
720|107|6.85
721|0|14.03
722|1|6.41
723|0|57.27
724|0|37.8
725|0|111.31
726|2|74.48
727|12|92.86
728|0|132.88
729|0|124.25
730|0|104.97
731|0|42.78
732|0|180.85
733|0|160.79
734|0|133.86
735|0|23.8
736|0|388.7
737|0|310.61
738|0|42.53
739|0|30.6
740|1|67.41
741|0|396.74
742|0|33.32
743|0|34.26
744|0|161.68
745|0|31.3
746|0|821.08
747|0|265.05
748|0|434.46
749|0|318.41
750|0|508.32
751|0|88.84
752|0|418.86
753|0|196.32
754|0|89.18
755|0|126.14
756|0|1098.55
757|0|958.18
758|0|902.5
759|233|45.99
760|0|14.95
761|178|28.99
762|0|60.11
763|0|6.02
764|0|3.84
765|0|16.87
766|1|9.99
767|2|124.57
768|3|16.24
769|0|80.34
770|0|701.8
771|0|87.96
772|2|527.32
773|7|529.0
774|0|2956.98
775|0|465.4
776|0|209.36
777|0|38.83
778|0|27.84
779|3|83.67
780|0|9055.07
781|0|35.18
782|55|15.75
783|1|6.58
784|83|38.79
785|1|33.01
786|0|24.55
787|1|28.36
788|0|26.51
789|0|49.81
790|0|12.3
791|0|25.77
792|0|20.13
793|56|34.84
794|0|151.99
795|0|179.63
796|0|569.54
797|0|7.43
798|0|16.7
799|0|31.07
800|25|122.78
801|2|3.65
802|0|8.84
803|2|11.19
804|3|33.81
805|0|19.12
806|0|8.83
807|3|6.97
808|0|58.6
809|0|160.03
810|0|12.73
811|0|45.78
812|0|28.86
813|4|6.06
814|0|15.69
815|43|3.07
816|0|108.81
817|0|33.36
818|0|935.93
819|1|13.87
820|4|1372.78
821|8|165.93
822|0|20.2
823|4|11.89
824|0|3.23
825|2|3.47
826|1|1.87
827|1|3.14
828|0|271.44
829|2|37.52
830|0|106.09
831|0|98.64
832|21|6.82
833|0|9.45
834|0|4.74
835|0|42.81
836|1|41.56
837|0|58.2
838|0|35.26
839|0|44.04
840|0|13.24
841|0|49.48
842|0|32.21
843|0|284.26
844|0|177.14
845|0|1009.41
846|0|72.4
847|1|13.17
848|1|3.88
849|0|30.48
850|29|14.04
851|1|25.72
852|2|16.45
853|0|188.22
854|1|14.36
855|0|44.14
856|0|3.49
857|0|54.7
858|0|4.78
859|1|14.1
860|4|13.57
861|0|8.22
862|11|5.57
863|60|5.38
864|0|145.36
865|0|33.43
866|0|239.08
867|0|28.68
868|0|289.78
869|0|19.35
870|0|26.03
871|0|42.93
872|0|853.7
873|1|3635.4
874|0|216.1
875|0|56.32
876|0|3.28
877|0|32.65
878|1|49.42
879|0|3.64
880|0|20.9
881|0|50.23
882|0|53.91
883|0|75.89
884|39|42.75
885|12|17.85
886|0|46.96
887|0|282.34
888|6|520.22
889|0|497.63
890|0|175.99
891|0|23.7
892|3|123.7
893|3|219.03
894|0|113.38
895|0|361.86
896|0|24.27
897|10|122.5
898|0|237.63
899|0|71.21
900|1|172.06
901|0|47.93
902|0|210.15
903|0|72.83
904|0|76.28
905|1|91.65
906|0|982.97
907|0|218.56
908|0|59.99
909|3|16.67
910|0|2311.64
911|1|85.58
912|0|71.18
913|1|3.93
914|0|3.49
915|3|6.02
916|0|36.24
917|7|37.95
918|0|84.4
919|10|42.32
920|0|107.98
921|0|610.48
922|7|2.34
923|11|52.14
924|0|22.0
925|3|8.63
926|4|88.9
927|4|114.71
928|2|15.9
929|4|49.29
930|35|9.68
931|0|5.5
932|1|18.6
933|1|4.19
934|0|4.08
935|0|12.65
936|3|37.24
937|0|52.2
938|0|20.38
939|1|7.4
940|2|5.94
941|0|9.3
942|0|12.12
943|1|36.56
944|1|15.19
945|1|29.41
946|2|6.85
947|0|55.95
948|0|488.86
949|0|178.35
950|0|11.78
951|0|19.17
952|0|71.32
953|0|192.39
954|0|97.99
955|3|1902.74
956|7|170.68
957|14|127.33
958|0|111.99
959|6|426.97
960|8|1428.78
961|0|125.94
962|4|1404.13
963|8|238.97
964|27|137.08
965|12|10.73
966|32|340.53
967|21|19.07
968|0|35.4
969|20|18.94
970|8|32.74
971|2|171.49
972|1|31.59
973|1|92.86
974|0|152.71
975|0|419.08
976|0|34.58
977|0|31.92
978|0|1287.46
979|0|118.8
980|0|8.8
981|0|8.8
982|0|88.41
983|0|378.35
984|0|491.27
985|11|9.43
986|1|57.96
987|0|122.9
988|0|278.75
989|0|250.89
990|0|1009.12
991|0|238.31
992|0|370.67
993|8|168.33
994|0|12.51
995|1|2.24
996|1|22.62
997|10|38.77
998|4|3.17
999|2|52.61
1000|0|122.06
1001|0|277.52
1002|6|34.96
1003|0|9.11
1004|2|8.1
1005|0|77.94
1006|0|165.06
1007|9|70.69
1008|0|101.49
1009|0|310.17
1010|1|118.75
1011|1|67.22
1012|0|23.47
1013|0|107.16
1014|0|71.34
1015|15|18.83
1016|0|66.96
1017|0|65.58
1018|0|152.12
1019|0|8.56
1020|0|9.91
1021|0|26.45
1022|1|77.94
1023|18|91.77
1024|1|100.35
1025|42|104.43
1026|0|45.51
1027|1|19.35
1028|0|118.51
1029|0|1.74
1030|1|57.34
1031|2|2.6
1032|354|37.72
1033|0|37.4
1034|0|35.86
1035|2|46.79
1036|0|179.1
1037|2|4.85
1038|0|27.75
1039|0|2.11
1040|0|292.13
1041|0|166.88
1042|0|328.0
1043|0|32.54
1044|0|176.09
1045|10|222.33
1046|1|18.98
1047|0|98.12
1048|0|338.79
1049|0|26.42
1050|0|33.8
1051|0|64.56
1052|0|128.75
1053|0|73.98
1054|1|107.98
