itemID|demandPrediction
1|0
2|0
3|1
4|0
5|2
6|4
7|0
8|0
9|0
10|1
11|0
12|1
13|0
14|0
15|0
16|2
17|4
18|5
19|0
20|0
21|2
22|0
23|0
24|0
25|1
26|0
27|0
28|0
29|0
30|0
31|1
32|0
33|0
34|0
35|17
36|0
37|0
38|157
39|1
40|4
41|8
42|0
43|0
44|1
45|0
46|1
47|1
48|1
49|1
50|1
51|34
52|6
53|0
54|0
55|0
56|1
57|0
58|0
59|0
60|1
61|0
62|0
63|13
64|0
65|1
66|0
67|0
68|0
69|0
70|0
71|0
72|3
73|0
74|1
75|0
76|0
77|0
78|0
79|30
80|0
81|0
82|1
83|52
84|0
85|1
86|29
87|189
88|0
89|1
90|0
91|28
92|0
93|0
94|0
95|0
96|0
97|0
98|152
99|1
100|0
101|1
102|0
103|0
104|0
105|0
106|1
107|0
108|1
109|1
110|2
111|141
112|0
113|4
114|1
115|542
116|3
117|0
118|0
119|0
120|0
121|0
122|0
123|0
124|0
125|0
126|0
127|0
128|3
129|187
130|2
131|0
132|1
133|1
134|2
135|0
136|0
137|0
138|0
139|0
140|0
141|0
142|0
143|1
144|0
145|0
146|408
147|0
148|0
149|0
150|0
151|0
152|1
153|0
154|0
155|0
156|0
157|0
158|0
159|0
160|0
161|0
162|169
163|1
164|0
165|0
166|0
167|1
168|0
169|2
170|1
171|1
172|2
173|2
174|0
175|0
176|0
177|2
178|0
179|0
180|0
181|3
182|1
183|3
184|0
185|0
186|0
187|6
188|1
189|1
190|0
191|0
192|2
193|0
194|45
195|23
196|21
197|2
198|0
199|0
200|0
201|0
202|0
203|1
204|0
205|1
206|2
207|0
208|2
209|2
210|3
211|0
212|0
213|0
214|0
215|0
216|0
217|0
218|7
219|0
220|93
221|0
222|508
223|0
224|0
225|2
226|0
227|143
228|3
229|0
230|0
231|0
232|1
233|0
234|4
235|0
236|0
237|2
238|0
239|1
240|0
241|0
242|135
243|0
244|0
245|0
246|0
247|0
248|0
249|0
250|0
251|5
252|0
253|9
254|4
255|0
256|0
257|412
258|585
259|79
260|3
261|68
262|1
263|63
264|20
265|0
266|0
267|0
268|0
269|0
270|27
271|1
272|0
273|1
274|50
275|0
276|0
277|0
278|0
