itemID|demandPrediction
1|42
2|0
3|43
4|56
5|14
6|0
7|72
8|27
9|37
10|26
11|43
12|0
13|59
14|55
15|29
16|0
17|29
18|26
19|29
20|0
21|36
22|0
23|0
24|0
25|0
26|42
27|0
28|0
29|36
30|0
31|14
32|69
33|0
34|1
35|11
36|0
37|0
38|22
39|25
40|24
41|6
42|0
43|0
44|0
45|0
46|0
47|0
48|0
49|0
50|0
51|0
52|31
53|0
54|0
55|0
56|0
57|0
58|0
59|0
60|7
61|46
62|32
63|32
64|37
65|30
66|0
67|1
68|33
69|60
70|0
71|0
72|27
73|0
74|34
75|33
76|0
77|0
78|0
79|22
80|0
81|36
82|0
83|24
84|0
85|0
86|14
87|14
88|26
89|0
90|0
91|14
92|19
93|0
94|0
95|46
96|0
97|63
98|0
99|0
100|0
101|38
102|41
103|17
104|0
105|42
106|31
107|0
108|0
109|13
110|0
111|0
112|53
113|14
114|101
115|7
116|7
117|43
118|0
119|0
120|44
121|63
122|0
123|0
124|0
125|0
126|0
127|0
128|92
129|21
130|0
131|23
132|0
133|0
134|24
135|0
136|74
137|39
138|0
139|0
140|0
141|0
142|0
143|19
144|0
145|0
146|9
147|0
148|43
149|0
150|0
151|0
152|0
153|10
154|0
155|0
156|0
157|0
158|11
159|0
160|69
161|0
162|20
163|29
164|0
165|0
166|0
167|0
168|64
169|31
170|38
171|0
172|36
173|16
174|59
175|0
176|0
177|0
178|0
179|0
180|39
181|0
182|18
183|36
184|0
185|0
186|34
187|38
188|23
189|34
190|76
191|55
192|32
193|110
194|6
195|4
196|15
197|0
198|0
199|32
200|0
201|32
202|0
203|32
204|0
205|0
206|27
207|0
208|0
209|22
210|1
211|0
212|17
213|0
214|0
215|0
216|29
217|0
218|29
219|0
220|6
221|38
222|13
223|44
224|0
225|10
226|0
227|0
228|0
229|0
230|0
231|9
232|0
233|28
234|15
235|23
236|47
237|0
238|60
239|0
240|39
241|0
242|0
243|68
244|41
245|0
246|0
247|36
248|0
249|0
250|0
251|20
252|29
253|0
254|0
255|0
256|0
257|9
258|7
259|0
260|112
261|0
262|0
263|0
264|19
265|0
266|0
267|0
268|0
269|53
270|0
271|0
272|0
273|57
274|3
275|41
276|0
277|8
278|0
279|30
280|54
281|1
282|0
283|43
284|40
285|60
286|0
287|0
288|0
289|51
290|28
291|30
292|0
293|26
294|16
295|32
296|0
297|0
298|8
299|0
300|0
301|0
302|0
303|22
304|0
305|0
306|0
307|0
308|57
309|3
310|0
311|12
312|14
313|0
314|0
315|0
316|14
317|0
318|0
319|0
320|0
321|0
322|0
323|0
324|15
325|0
326|0
327|58
328|0
329|19
330|42
331|7
332|97
333|15
334|12
335|167
336|25
337|0
338|0
339|0
340|31
341|26
342|42
343|0
344|2
345|58
346|0
347|0
348|0
349|9
350|31
351|41
352|0
353|0
354|0
355|36
356|21
357|0
358|0
359|59
360|0
361|0
362|0
363|91
364|0
365|0
366|0
367|0
368|12
369|37
370|0
371|7
372|17
373|0
374|0
375|0
376|0
377|191
378|0
379|56
380|39
381|35
382|66
383|36
384|36
385|0
386|36
387|19
388|26
389|120
390|0
391|23
392|106
393|85
394|0
395|0
396|24
397|0
398|53
399|0
400|0
401|29
402|0
403|0
404|0
405|0
406|0
407|0
408|0
409|0
410|0
411|0
412|0
413|0
414|0
415|0
416|0
417|0
418|0
419|0
420|48
421|0
422|5
423|10
424|0
425|0
426|48
427|3
428|0
429|5
430|46
431|18
432|0
433|34
434|43
435|0
436|0
437|0
438|0
439|33
440|22
441|6
442|0
443|99
444|152
445|193
446|35
447|32
448|44
449|0
450|0
451|11
452|0
453|0
454|36
455|0
456|24
457|24
458|86
459|23
460|7
461|85
462|60
463|23
464|37
465|0
466|57
467|0
468|16
469|11
470|49
471|0
472|0
473|28
474|0
475|36
476|0
477|70
478|21
479|14
480|0
481|24
482|0
483|0
484|0
485|44
486|54
487|0
488|37
489|0
490|36
491|0
492|2
493|21
494|16
495|0
496|0
497|0
498|1
499|0
500|0
501|32
502|24
503|6
504|0
505|0
506|0
507|0
508|0
509|0
510|0
511|12
512|0
513|6
514|4
515|5
516|25
517|25
518|36
519|11
520|31
521|17
522|19
523|23
524|20
525|26
526|19
527|25
528|0
529|30
530|0
531|17
532|28
533|0
534|0
535|29
536|0
537|0
538|15
539|0
540|0
541|115
542|17
543|34
544|0
545|45
546|27
547|0
548|0
549|0
550|0
551|0
552|0
553|0
554|29
555|61
556|32
557|0
558|0
559|178
560|14
561|0
562|0
563|0
564|0
565|22
566|0
567|34
568|17
569|19
570|0
571|24
572|19
573|4
574|0
575|3
576|0
577|9
578|0
579|9
580|0
581|9
582|0
583|13
584|0
585|0
586|10
587|0
588|25
589|7
590|25
591|33
592|53
593|0
594|88
595|0
596|0
597|0
598|1
599|3
600|45
601|0
602|97
603|0
604|0
605|0
606|45
607|0
608|0
609|0
610|9
611|1
612|39
613|37
614|16
615|13
616|47
617|69
618|0
619|13
620|9
621|26
622|0
623|66
624|34
625|0
626|0
627|72
628|0
629|48
630|20
631|25
632|28
633|35
634|19
635|0
636|0
637|22
638|0
639|0
640|0
641|22
642|14
643|0
644|0
645|0
646|0
647|0
648|0
649|12
650|0
651|35
652|5
653|0
654|5
655|29
656|0
657|0
658|0
659|26
660|7
661|0
662|0
663|0
664|0
665|0
666|0
667|48
668|0
669|0
670|0
671|32
672|19
673|25
674|41
675|0
676|29
677|0
678|28
679|0
680|0
681|68
682|111
683|45
684|0
685|0
686|0
687|7
688|5
689|135
690|75
691|26
692|9
693|164
694|15
695|0
696|42
697|0
698|0
699|0
700|15
701|1
702|0
703|0
704|0
705|0
706|42
707|44
708|52
709|1
710|58
711|0
712|0
713|9
714|0
715|19
716|0
717|23
718|0
719|27
720|22
721|0
722|25
723|0
724|0
725|0
726|8
727|2
728|0
729|0
730|0
731|0
732|0
733|0
734|0
735|0
736|0
737|0
738|0
739|0
740|46
741|0
742|0
743|0
744|0
745|0
746|0
747|0
748|0
749|0
750|0
751|0
752|0
753|0
754|0
755|0
756|0
757|0
758|0
759|28
760|0
761|25
762|0
763|0
764|1
765|0
766|52
767|23
768|60
769|0
770|0
771|0
772|11
773|8
774|0
775|0
776|0
777|0
778|0
779|23
780|0
781|0
782|48
783|37
784|33
785|33
786|0
787|35
788|0
789|0
790|0
791|0
792|0
793|33
794|0
795|0
796|0
797|0
798|0
799|0
800|28
801|40
802|0
803|45
804|33
805|1
806|0
807|82
808|0
809|0
810|0
811|0
812|0
813|12
814|0
815|9
816|0
817|0
818|0
819|37
820|18
821|8
822|0
823|36
824|1
825|32
826|13
827|48
828|0
829|44
830|0
831|0
832|74
833|0
834|0
835|0
836|39
837|0
838|0
839|0
840|0
841|0
842|0
843|0
844|0
845|0
846|0
847|17
848|4
849|1
850|8
851|32
852|26
853|0
854|31
855|0
856|1
857|0
858|0
859|30
860|37
861|0
862|20
863|9
864|0
865|0
866|0
867|0
868|0
869|0
870|0
871|0
872|0
873|28
874|0
875|0
876|0
877|0
878|25
879|0
880|0
881|0
882|0
883|0
884|11
885|32
886|0
887|0
888|21
889|0
890|0
891|0
892|12
893|6
894|1
895|0
896|0
897|19
898|0
899|0
900|9
901|0
902|0
903|0
904|0
905|41
906|0
907|0
908|0
909|36
910|0
911|10
912|0
913|37
914|0
915|11
916|0
917|6
918|0
919|13
920|0
921|0
922|8
923|7
924|0
925|9
926|2
927|30
928|38
929|29
930|30
931|0
932|27
933|21
934|0
935|0
936|35
937|0
938|0
939|31
940|58
941|0
942|0
943|53
944|16
945|29
946|16
947|0
948|0
949|0
950|0
951|0
952|0
953|0
954|0
955|38
956|19
957|22
958|0
959|23
960|19
961|0
962|19
963|24
964|89
965|8
966|11
967|30
968|0
969|36
970|32
971|10
972|21
973|26
974|0
975|0
976|0
977|0
978|0
979|0
980|0
981|0
982|0
983|0
984|0
985|11
986|7
987|0
988|0
989|0
990|0
991|0
992|0
993|14
994|0
995|58
996|13
997|13
998|18
999|54
1000|0
1001|0
1002|27
1003|0
1004|25
1005|0
1006|0
1007|35
1008|0
1009|0
1010|13
1011|10
1012|0
1013|0
1014|0
1015|23
1016|0
1017|0
1018|0
1019|0
1020|0
1021|0
1022|21
1023|37
1024|8
1025|22
1026|0
1027|45
1028|0
1029|0
1030|4
1031|87
1032|39
1033|0
1034|0
1035|97
1036|0
1037|26
1038|0
1039|0
