iter	RMSE
0	100.9859886
1	99.14203246
2	97.56697429
3	96.34910436
4	95.25611846
5	94.1028422
6	93.36480908
7	92.7853061
8	92.33440198
9	91.75070693
10	91.33266099
11	90.97339356
12	90.44091745
13	90.06684366
14	89.8423102
15	89.59968483
16	89.34189664
17	88.83407949
18	88.5653065
19	88.42761609
20	87.49578582
21	86.72079833
22	86.43944068
23	86.29594845
24	86.00745425
25	85.89671398
26	85.73885901
27	85.65776923
28	85.60847145
29	85.48853541
30	85.31306425
31	85.1275993
32	84.99927642
33	84.65087731
34	84.13054217
35	84.01143102
36	83.94838985
