iter	Passed	Remaining
0	46	46617
1	86	43347
2	129	43164
3	196	49035
4	250	49901
5	326	54104
6	389	55306
7	452	56161
8	519	57192
9	564	55841
10	637	57315
11	706	58156
12	755	57339
13	818	57673
14	927	60907
15	1027	63173
16	1100	63662
17	1175	64146
18	1246	64346
19	1320	64701
20	1404	65462
21	1467	65236
22	1535	65213
23	1600	65078
24	1659	64704
25	1706	63919
26	1762	63524
27	1811	62871
28	1859	62244
29	1913	61874
30	1954	61094
31	2002	60561
32	2039	59768
33	2077	59039
34	2165	59710
35	2226	59613
36	2287	59527
