itemID|demandPrediction
1|37.0
2|1.0
3|52.0
4|45.0
5|20.0
6|-3.0
7|75.0
8|47.0
9|29.0
10|30.0
11|41.0
12|-2.0
13|60.0
14|74.0
15|20.0
16|1.0
17|36.0
18|39.0
19|21.0
20|1.0
21|44.0
22|1.0
23|0.0
24|1.0
25|1.0
26|54.0
27|1.0
28|3.0
29|38.0
30|-1.0
31|11.0
32|82.0
33|1.0
34|1.0
35|-5.0
36|-2.0
37|-2.0
38|17.0
39|27.0
40|21.0
41|11.0
42|0.0
43|0.0
44|-1.0
45|1.0
46|1.0
47|1.0
48|1.0
49|-0.0
50|2.0
51|-0.0
52|47.0
53|0.0
54|-1.0
55|1.0
56|1.0
57|-1.0
58|0.0
59|0.0
60|1.0
61|63.0
62|31.0
63|33.0
64|34.0
65|32.0
66|1.0
67|3.0
68|39.0
69|74.0
70|0.0
71|1.0
72|44.0
73|4.0
74|35.0
75|38.0
76|-0.0
77|2.0
78|1.0
79|24.0
80|-1.0
81|29.0
82|-0.0
83|22.0
84|1.0
85|0.0
86|14.0
87|25.0
88|19.0
89|1.0
90|0.0
91|26.0
92|23.0
93|0.0
94|-2.0
95|53.0
96|1.0
97|59.0
98|-1.0
99|1.0
100|-0.0
101|36.0
102|41.0
103|9.0
104|-3.0
105|35.0
106|34.0
107|1.0
108|1.0
109|21.0
110|1.0
111|-2.0
112|74.0
113|18.0
114|124.0
115|-3.0
116|6.0
117|41.0
118|1.0
119|0.0
120|67.0
121|73.0
122|1.0
123|-0.0
124|1.0
125|1.0
126|0.0
127|0.0
128|124.0
129|26.0
130|-1.0
131|23.0
132|1.0
133|0.0
134|16.0
135|-0.0
136|82.0
137|40.0
138|0.0
139|-2.0
140|0.0
141|-4.0
142|-3.0
143|14.0
144|-0.0
145|-0.0
146|-1.0
147|0.0
148|43.0
149|1.0
150|-1.0
151|-1.0
152|1.0
153|2.0
154|1.0
155|0.0
156|0.0
157|1.0
158|4.0
159|-2.0
160|78.0
161|-0.0
162|22.0
163|44.0
164|0.0
165|-1.0
166|-0.0
167|1.0
168|68.0
169|28.0
170|48.0
171|-0.0
172|34.0
173|20.0
174|76.0
175|-2.0
176|0.0
177|0.0
178|0.0
179|-2.0
180|39.0
181|-2.0
182|19.0
183|48.0
184|1.0
185|-1.0
186|35.0
187|53.0
188|23.0
189|46.0
190|128.0
191|75.0
192|38.0
193|141.0
194|11.0
195|4.0
196|15.0
197|-1.0
198|-2.0
199|28.0
200|-0.0
201|45.0
202|-0.0
203|25.0
204|0.0
205|-1.0
206|22.0
207|-0.0
208|-0.0
209|29.0
210|0.0
211|3.0
212|18.0
213|-1.0
214|1.0
215|-4.0
216|38.0
217|0.0
218|46.0
219|-2.0
220|-3.0
221|42.0
222|14.0
223|58.0
224|1.0
225|10.0
226|1.0
227|-1.0
228|-0.0
229|-1.0
230|1.0
231|6.0
232|1.0
233|35.0
234|28.0
235|28.0
236|47.0
237|2.0
238|62.0
239|0.0
240|42.0
241|-1.0
242|-1.0
243|96.0
244|34.0
245|0.0
246|0.0
247|28.0
248|4.0
249|1.0
250|2.0
251|14.0
252|41.0
253|2.0
254|2.0
255|0.0
256|0.0
257|14.0
258|15.0
259|-3.0
260|141.0
261|-1.0
262|-1.0
263|-3.0
264|28.0
265|-3.0
266|-3.0
267|-2.0
268|0.0
269|69.0
270|2.0
271|-0.0
272|-0.0
273|103.0
274|9.0
275|50.0
276|0.0
277|-1.0
278|1.0
279|41.0
280|70.0
