itemID|demandPrediction
1|25
2|0
3|44
4|41
5|22
6|0
7|66
8|17
9|26
10|41
11|26
12|0
13|41
14|46
15|7
16|0
17|16
18|24
19|13
20|0
21|29
22|0
23|0
24|0
25|0
26|35
27|0
28|0
29|26
30|0
31|11
32|72
33|0
34|0
35|29
36|0
37|0
38|10
39|21
40|12
41|17
42|0
43|0
44|0
45|0
46|0
47|0
48|0
49|0
50|0
51|0
52|27
53|0
54|0
55|0
56|0
57|0
58|0
59|0
60|15
61|38
62|24
63|14
64|28
65|18
66|0
67|0
68|24
69|63
70|0
71|0
72|24
73|0
74|24
75|23
76|0
77|0
78|0
79|7
80|0
81|40
82|0
83|15
84|0
85|0
86|20
87|13
88|9
89|0
90|0
91|11
92|27
93|0
94|0
95|20
96|0
97|57
98|0
99|0
100|0
101|19
102|17
103|14
104|0
105|31
106|18
107|0
108|0
109|32
110|0
111|0
112|52
113|18
114|94
115|16
116|11
117|13
118|0
119|0
120|26
121|79
122|0
123|0
124|0
125|0
126|0
127|0
128|50
129|13
130|0
131|13
132|0
133|0
134|9
135|0
136|53
137|22
138|0
139|0
140|0
141|0
142|0
143|20
144|0
145|0
146|17
147|0
148|30
149|0
150|0
151|0
152|0
153|9
154|0
155|0
156|0
157|0
158|12
159|0
160|46
161|0
162|18
163|16
164|0
165|0
166|0
167|0
168|41
169|18
170|18
171|0
172|17
173|13
174|37
175|0
176|0
177|0
178|0
179|0
180|15
181|0
182|11
183|22
184|0
185|0
186|17
187|18
188|21
189|17
190|139
191|36
192|28
193|98
194|12
195|0
196|11
197|0
198|0
199|14
200|0
201|20
202|0
203|48
204|0
205|0
206|19
207|0
208|0
209|18
210|0
211|0
212|15
213|0
214|0
215|0
216|16
217|0
218|18
219|0
220|7
221|20
222|9
223|24
224|0
225|9
226|0
227|0
228|0
229|0
230|0
231|10
232|0
233|10
234|28
235|20
236|14
237|0
238|17
239|0
240|42
241|0
242|0
243|32
244|38
245|0
246|0
247|14
248|0
249|0
250|0
251|15
252|12
253|0
254|0
255|0
256|0
257|11
258|16
259|0
260|94
261|0
262|0
263|0
264|14
265|0
266|0
267|0
268|0
269|39
270|0
271|0
272|0
273|32
274|17
275|21
276|0
277|7
278|0
279|18
280|52
281|0
282|0
283|16
284|35
285|23
286|0
287|0
288|0
289|35
290|30
291|20
292|0
293|12
294|14
295|25
296|0
297|0
298|14
299|0
300|0
301|0
302|0
303|17
304|0
305|0
306|0
307|0
308|30
309|20
310|0
311|5
312|14
313|0
314|0
315|0
316|11
317|0
318|0
319|0
320|9
321|0
322|0
323|0
324|34
325|0
326|0
327|53
328|0
329|17
330|27
331|13
332|46
333|14
334|6
335|185
336|25
337|0
338|0
339|0
340|14
341|21
342|24
343|0
344|0
345|29
346|0
347|0
348|0
349|13
350|20
351|31
352|0
353|0
354|0
355|15
356|31
357|0
358|0
359|41
360|0
361|0
362|0
363|137
364|0
365|0
366|0
