itemID|demandPrediction
1|53
2|27
3|34
4|32
5|14
6|49
7|31
8|41
9|33
10|37
11|46
12|43
13|42
14|19
15|21
16|34
17|44
18|18
19|33
20|29
21|34
22|28
23|34
24|29
25|33
26|33
27|25
28|26
29|35
30|29
31|55
32|51
33|27
34|49
35|69
36|-17
37|38
38|29
39|35
40|37
41|19
42|22
43|16
44|17
45|30
46|17
47|10
48|17
49|32
50|24
51|34
52|30
53|33
54|17
55|34
56|17
57|29
58|13
59|14
60|3
61|17
62|33
63|42
64|17
65|18
66|35
67|33
68|22
69|17
70|3
71|27
72|17
73|45
74|44
75|47
76|11
77|28
78|34
79|37
80|20
81|33
82|20
83|20
84|36
85|31
86|16
87|58
88|20
89|31
90|17
91|19
92|34
93|16
94|1
95|20
96|33
97|33
98|1
99|-11
100|22
101|31
102|37
103|3
104|28
105|17
106|17
107|34
108|33
109|28
110|13
111|24
112|50
113|19
114|32
115|63
116|12
117|37
118|23
119|2
120|19
121|33
122|29
123|19
124|35
125|17
126|16
127|12
128|35
129|43
130|26
131|20
132|29
133|18
134|19
135|18
136|33
137|34
138|36
139|16
140|-48
141|1
142|-9
143|30
144|18
145|18
146|46
147|24
148|33
149|16
150|13
151|23
152|36
153|13
154|34
155|-4
156|16
157|18
158|34
159|21
160|37
161|33
162|41
163|19
164|19
165|18
166|44
167|16
168|35
169|39
170|53
171|42
172|39
173|14
174|36
175|20
176|38
177|19
178|16
179|5
180|44
181|26
182|22
183|37
184|35
185|32
186|46
187|36
188|34
189|29
190|31
191|38
192|43
193|25
194|26
195|30
196|20
197|9
198|6
199|23
200|17
201|20
202|32
203|25
204|33
205|35
206|41
207|20
208|36
209|29
210|33
211|23
212|35
213|35
214|32
215|21
216|29
217|34
218|34
219|27
220|24
221|37
222|63
223|19
224|35
225|0
226|31
227|26
228|17
229|11
230|29
231|36
232|17
233|28
234|23
235|40
236|22
237|26
238|51
239|25
240|33
241|38
242|40
243|24
244|26
245|5
246|12
247|32
248|31
249|35
250|14
251|26
252|24
253|10
254|10
255|16
256|14
257|58
258|61
259|22
260|35
261|22
262|25
263|21
264|37
265|2
266|1
267|-23
268|19
269|35
270|35
271|22
272|24
273|35
274|18
275|36
276|-35
277|16
278|33
279|31
280|33
281|43
282|33
283|25
284|32
285|19
286|29
287|17
288|17
289|33
290|21
291|17
292|10
293|19
294|13
295|58
296|43
297|34
298|29
299|33
300|23
301|20
302|21
303|33
304|17
305|25
306|12
307|31
308|34
309|24
310|18
311|9
312|21
313|-2
314|7
315|36
316|21
317|23
318|19
319|6
320|36
321|15
322|22
323|16
324|26
325|26
326|19
327|17
328|35
329|25
330|47
331|50
332|37
333|33
334|23
335|32
336|29
337|19
338|20
339|19
340|27
341|37
342|36
343|29
344|10
345|19
346|19
347|18
348|18
349|8
350|32
351|19
352|12
353|-1
354|15
355|37
356|17
357|18
358|19
359|19
360|41
361|49
362|31
363|48
364|23
365|29
366|19
367|41
368|11
369|33
370|19
371|33
372|29
373|25
374|22
375|44
376|18
377|42
378|19
379|35
380|32
381|86
382|35
383|19
384|20
385|21
386|31
387|27
388|17
389|45
390|43
391|32
392|34
393|36
394|26
395|19
396|21
397|18
398|41
399|24
400|23
401|21
402|29
403|39
404|16
405|37
406|39
407|14
408|32
409|32
410|16
411|12
412|5
413|-16
414|14
415|17
416|11
417|30
418|15
419|32
420|31
421|17
422|26
423|43
424|22
425|25
426|21
427|26
428|17
429|27
430|17
431|26
432|38
433|41
434|54
435|30
436|47
437|17
438|35
439|35
440|21
441|10
442|20
443|19
444|34
445|33
446|17
447|19
448|19
449|27
450|27
451|-1
452|32
453|17
454|32
455|40
456|23
457|33
458|34
459|37
460|27
461|39
462|23
463|29
464|33
465|18
466|35
467|-2
468|41
469|41
470|6
471|39
472|28
473|23
474|24
475|21
476|16
477|30
478|30
479|23
480|28
481|36
482|33
483|8
484|34
485|34
486|45
487|33
488|28
489|33
490|32
491|35
492|37
493|24
494|18
495|32
496|17
497|17
498|27
499|34
500|21
501|20
502|66
503|23
504|32
505|10
506|34
507|0
508|19
509|36
510|21
511|60
512|31
513|43
514|24
515|29
516|30
517|42
518|35
519|26
520|35
521|32
522|41
523|44
524|31
525|38
526|42
527|19
528|19
529|29
530|11
531|34
532|36
533|18
534|19
535|19
536|10
537|-5
538|9
539|42
540|5
541|30
542|27
543|48
544|29
545|19
546|11
547|0
548|5
549|22
550|10
551|2
552|30
553|16
554|19
555|36
556|45
557|10
558|6
559|34
560|55
561|35
562|34
563|14
564|31
565|17
566|0
567|33
568|49
569|28
570|15
571|21
572|24
573|33
574|25
575|31
576|22
577|43
578|17
579|47
580|19
581|16
582|25
583|34
584|43
585|26
586|30
587|3
588|10
589|23
590|30
591|30
592|35
593|19
594|19
595|31
596|10
597|9
598|34
599|21
600|11
601|25
602|29
603|21
604|17
605|34
606|35
607|19
608|19
609|36
610|10
611|22
612|31
613|43
614|25
615|18
616|19
617|34
618|34
619|30
620|40
621|50
622|15
623|32
624|24
625|4
626|15
627|15
628|14
629|23
630|35
631|39
632|27
633|43
634|22
635|14
636|29
637|49
638|22
639|32
640|34
641|28
642|18
643|39
644|33
645|19
646|31
647|16
648|1
649|24
650|33
651|32
652|0
653|30
654|33
655|14
656|30
657|25
658|20
659|73
660|24
661|42
662|16
663|25
664|23
665|34
666|21
667|16
668|0
669|15
670|19
671|18
672|49
673|17
674|32
675|17
676|43
677|16
678|24
679|35
680|29
681|19
682|13
683|36
684|17
685|35
686|18
687|-3
688|6
689|19
690|22
691|38
692|28
693|17
694|32
695|17
696|18
697|14
698|41
699|37
700|30
701|27
702|18
703|18
704|23
705|33
706|32
707|36
708|32
709|21
710|35
711|28
712|15
713|9
714|16
715|14
716|7
717|28
718|16
719|33
720|37
721|49
722|44
723|18
724|20
725|17
726|19
727|27
728|19
729|23
730|20
731|18
732|-3
733|34
734|15
735|17
736|16
737|16
738|17
739|17
740|36
741|15
742|16
743|16
744|14
745|17
746|13
747|15
748|16
749|29
750|12
751|16
752|11
753|15
754|14
755|16
756|9
757|11
758|29
759|33
760|18
761|18
762|16
763|34
764|32
765|34
766|25
767|19
768|16
769|19
770|1
771|10
772|31
773|19
774|0
775|-3
776|7
777|17
778|17
779|34
780|-44
781|23
782|33
783|19
784|25
785|27
786|16
787|22
788|43
789|19
790|16
791|20
792|35
793|25
794|15
795|15
796|5
797|18
798|18
799|18
800|29
801|36
802|17
803|34
804|32
805|48
806|21
807|18
808|15
809|18
810|32
811|27
812|31
813|15
814|19
815|0
816|10
817|7
818|5
819|26
820|23
821|17
822|21
823|34
824|32
825|19
826|24
827|32
828|18
829|23
830|31
831|18
832|43
833|19
834|22
835|10
836|32
837|20
838|32
839|19
840|19
841|33
842|24
843|13
844|16
845|23
846|16
847|14
848|24
849|30
850|23
851|20
852|11
853|35
854|28
855|-6
856|14
857|24
858|32
859|39
860|41
861|22
862|23
863|25
864|16
865|25
866|18
867|18
868|17
869|21
870|18
871|15
872|0
873|16
874|5
875|16
876|26
877|11
878|19
879|17
880|12
881|16
882|33
883|17
884|0
885|18
886|37
887|14
888|34
889|17
890|16
891|3
892|16
893|4
894|26
895|3
896|18
897|12
898|16
899|46
