itemID|demandPrediction
1|40
2|0
3|42
4|35
5|16
6|0
7|65
8|20
9|36
10|20
11|45
12|0
13|43
14|80
15|14
16|0
17|22
18|19
19|24
20|0
21|25
22|0
23|0
24|0
25|0
26|43
27|0
28|0
29|38
30|0
31|15
32|65
33|0
34|0
35|32
36|0
37|0
38|14
39|24
40|20
41|16
42|0
43|0
44|0
45|0
46|0
47|0
48|0
49|0
50|0
51|0
52|26
53|0
54|0
55|0
56|0
57|0
58|0
59|0
60|10
61|28
62|15
63|36
64|40
65|20
66|0
67|0
68|17
69|74
70|0
71|0
72|23
73|0
74|34
75|28
76|0
77|0
78|0
79|8
80|0
81|52
82|0
83|15
84|0
85|0
86|15
87|15
88|13
89|0
90|0
91|19
92|16
93|0
94|0
95|46
96|0
97|68
98|0
99|0
100|0
101|26
102|44
103|17
104|0
105|30
106|25
107|0
108|0
109|18
110|0
111|0
112|45
113|14
114|119
115|15
116|9
117|25
118|0
119|0
120|35
121|68
122|0
123|0
124|0
125|0
126|0
127|0
128|107
129|14
130|0
131|22
132|0
133|0
134|19
135|0
136|77
137|29
138|0
139|0
140|0
141|0
142|0
143|17
144|0
145|0
146|8
147|0
148|30
149|0
150|0
151|0
152|0
153|11
154|0
155|0
156|0
157|0
158|14
159|0
160|63
161|0
162|30
163|30
164|0
165|0
166|0
167|0
168|62
169|35
170|31
171|0
172|33
173|10
174|40
175|0
176|0
177|0
178|0
179|0
180|28
181|0
182|12
183|27
184|0
185|0
186|34
187|25
188|35
189|31
190|165
191|40
192|35
193|119
194|10
195|0
196|22
197|0
198|0
199|36
200|0
201|31
202|0
203|22
204|0
205|0
206|29
207|0
208|0
209|20
210|0
211|0
212|19
213|0
214|0
215|0
216|23
217|0
218|23
219|0
220|6
221|28
222|6
223|41
224|0
225|9
226|0
227|0
228|0
229|0
230|0
231|13
232|0
233|25
234|15
235|16
236|44
237|0
238|47
239|0
240|46
241|0
242|0
243|51
244|36
245|0
246|0
247|29
248|0
249|0
250|0
251|14
252|12
253|0
254|0
255|0
256|0
257|6
258|5
259|0
260|122
261|0
262|0
263|0
264|24
265|0
266|0
267|0
268|0
269|52
270|0
271|0
272|0
273|49
274|6
275|36
276|0
277|7
278|0
279|23
280|41
281|0
282|0
283|43
284|51
285|48
286|0
287|0
288|0
289|48
290|36
291|23
292|0
293|23
294|10
295|27
296|0
297|0
298|11
299|0
300|0
301|0
302|0
303|23
304|0
305|0
306|0
307|0
308|48
309|11
310|0
311|7
312|11
313|0
314|0
315|0
316|23
317|0
318|0
319|0
320|10
321|0
322|0
323|0
324|19
325|0
326|0
327|70
328|0
329|22
330|26
331|6
332|82
333|5
334|5
335|204
336|17
337|0
338|0
339|0
340|33
341|18
342|32
343|0
344|0
345|63
346|0
347|0
348|0
349|23
350|37
351|51
352|0
353|0
354|0
355|30
356|20
357|0
358|0
359|67
360|0
361|0
362|0
363|79
364|0
365|0
366|0
367|0
368|12
369|37
370|0
371|8
372|11
373|0
374|0
375|0
376|0
377|115
378|0
379|49
380|36
381|36
382|66
383|43
384|39
385|0
386|51
387|12
388|20
389|122
390|0
391|26
392|106
393|88
394|0
395|0
396|22
397|0
398|48
399|0
400|0
401|28
402|0
403|0
404|0
405|0
406|0
407|0
408|0
409|0
410|0
411|0
412|0
413|0
414|0
415|0
416|0
417|0
418|0
419|0
420|46
421|0
422|5
423|5
424|0
425|0
426|46
427|6
428|0
429|4
430|41
431|22
432|0
433|18
434|16
435|0
436|0
437|0
438|0
439|26
440|12
441|10
442|0
443|106
444|149
445|168
446|25
447|32
448|55
449|0
450|0
451|11
452|0
453|0
454|31
455|0
456|24
457|13
458|75
459|21
460|6
461|79
462|61
463|14
464|14
465|0
466|47
467|0
468|22
469|9
470|55
471|0
472|0
473|25
474|0
475|41
476|0
477|64
478|18
479|15
480|0
481|23
482|0
483|0
484|0
485|46
486|36
487|0
488|39
489|0
490|38
