iter	feval_cat	MAE
0	2114078.558	4.674196685
1	3796402.22	4.6082318
2	3796402.22	4.608231778
3	3824880.772	4.605848868
4	3873897.688	4.60252669
5	3914757.012	4.600210356
6	3951498.2	4.598316934
7	3972186.762	4.59736579
8	4775951.778	4.564915028
9	5573463.008	4.576361845
10	5604913.69	4.575202216
11	6179189.605	4.552984139
12	6191306.703	4.552524937
13	6219495.269	4.551443167
14	6238824.107	4.550689392
15	6244488.737	4.5505744
16	6244492.451	4.550574142
17	6263307.265	4.549734848
18	6280034.375	4.54911299
