iter	Passed	Remaining
0	157	10111
1	304	9602
2	451	9324
3	590	9012
4	732	8786
5	869	8554
6	1006	8342
7	1141	8135
8	1283	7983
9	1422	7821
10	1567	7696
11	1701	7513
12	1840	7362
13	1975	7195
14	2114	7048
15	2247	6882
16	2385	6736
17	2515	6568
18	2645	6405
19	2774	6242
20	2905	6088
21	3035	5933
22	3172	5794
23	3305	5647
24	3438	5501
25	3575	5362
26	3712	5225
27	3849	5086
28	3979	4940
29	4114	4800
30	4261	4673
31	4414	4552
32	4558	4420
33	4701	4286
34	4841	4150
35	4980	4012
36	5117	3873
37	5254	3733
38	5391	3594
39	5519	3449
40	5670	3319
41	5799	3176
42	5928	3033
43	6055	2890
44	6183	2748
45	6312	2607
46	6450	2470
47	6586	2332
48	6722	2195
49	6853	2056
50	6980	1916
51	7113	1778
52	7242	1639
53	7372	1501
54	7506	1364
55	7636	1227
56	7770	1090
57	7900	953
58	8034	817
59	8168	680
60	8299	544
61	8427	407
62	8561	271
63	8691	135
64	8826	0
